HDP ID,Project number,Active status,Archive date,Study name,Year Awarded,Registered,Clinical Trials ID,SLMD completion %,Repository selection,Data link(s) submitted,VLMD submitted - Data Dictionary,VLMD submitted - CDE,HEAL Research Program,NIH RePORTER link,Study PIs,DOI Identifier
HDP00045,1UG3DA047707-01,live,,Nalmefene Implant for the Long-Term Treatment of Opioid Use Disorder,2018,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9677008,Katherine L Beebe DeVarney,
HDP00046,1UG3DA048338-01A1,live,,A Long-Acting Bioabsorbable Naltrexone Subcutaneous Implant for Opioid Use Disorder,2019,Yes,,7.7,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9796231,"Jeffrey  Benner, Steven M Cohen",
HDP00047,1K24NS126570-01,archived,2023-12-06T11:02:56.104530,Mentorship in precision pain medicine via EPPIC-NET,2021,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/10426787,ROBERT R EDWARDS,
HDP00048,1UG3DA051392-01,live,,Evaluation of the Safety and Efficacy of a New Oral Small Molecule GABA-B Receptor Positive Allosteric Modulator (PAM) as an Add-on Maintenance Therapy for Opioid Use Disorder (OUD),2020,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/10026953,"Jay  Erdman, GERARD JOSEPH MAREK",
HDP00049,1R01HL150523-01,live,,Deconstructing sleep disruption as a major risk factor for relapse in opioid use,2019,Yes,,67.3,Figshare,https://doi.org/10.6084/m9.figshare.23767152,No,No,Sleep Dysfunction as a Core Feature of Opioid Use Disorder and Recovery,https://reporter.nih.gov/project-details/9881018,"CAROL A EVERSON, CHRISTOPHER M OLSEN, HERSHEL  RAFF",10.60490/HDP00049
HDP00050,1R34DA050255-01,archived,2024-08-06T11:24:56.183400,Planning Phase for the Healthy Brain and Child Development Study (HEALthy BCD) in Los Angeles County Area,2019,No,,11.5,,,No,No,HEALthy Brain and Child Development Study (HBCD),https://reporter.nih.gov/project-details/9900529,"Wei  Gao, Kimberly D Gregory, SCOTT P JOHNSON",
HDP00051,1RF1NS113840-01,live,,Nrf2 Activation for Addiction-Free Treatment of Neuropathic Pain,2019,No,,11.5,,,No,No,Discovery and Validation of Novel Targets for Safe and Effective Treatment of Pain,https://reporter.nih.gov/project-details/9868758,Peter M Grace,
HDP00052,1R43DA051279-01,live,,Project Motivate: A digital motivation and prediction platform to improve treatment retention and reduce relapse in opioid use disorder,2020,No,,11.5,,,No,No,,https://reporter.nih.gov/project-details/10013066,Jeremy  Guttman,
HDP00053,1UG3DA050308-01,live,,"Clinical Evaluation of C4X3256, a Non-Opioid, Highly-Selective Orexin-1 Receptor Antagonist for the Treatment of Opioid Use Disorder",2019,No,,11.5,,,No,No,Focusing Medication Development to Prevent and Treat Opioid Use Disorder and Overdose,https://reporter.nih.gov/project-details/9904355,Christian Arthur Heidbreder,
HDP00054,1UG3TR003081-01,live,,Multi-organ human-on-a-chip system to address overdose and acute and chronic efficacy and off-target toxicity,2019,Yes,,7.7,BioSystics-AP,https://eve.eveanalytics.com/assays/assaystudy/1211/,No,No,Translational Research to Advance Testing of Novel Drugs and Human Cell-Based Screening Platforms to Treat Pain and Opioid Use Disorder,https://reporter.nih.gov/project-details/9883479,"James J Hickman, MICHAEL L SHULER",
